epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1041.83,1.26341,3.98915,1.27643,0.78274,0.75368,0.7747,0.40536,2.50337,5.84435,2.0341,0.0004357,0.0004357,0.0004357
59,1059.38,1.25337,3.90222,1.25892,0.79926,0.74308,0.75409,0.37365,2.60741,6.03038,2.18812,0.0004258,0.0004258,0.0004258
60,1076.96,1.25031,3.81994,1.26419,0.79016,0.74126,0.75645,0.42562,2.18823,5.80158,1.84959,0.0004159,0.0004159,0.0004159
61,1094.7,1.22233,3.82198,1.24829,0.77121,0.76762,0.77939,0.45284,2.09087,5.28129,1.81331,0.000406,0.000406,0.000406
62,1112.39,1.24336,3.86774,1.27023,0.76706,0.73876,0.753,0.399,2.35897,5.99722,2.00664,0.0003961,0.0003961,0.0003961
63,1130.02,1.1969,3.69026,1.23981,0.80601,0.74129,0.767,0.40761,2.38911,5.70296,2.05017,0.0003862,0.0003862,0.0003862
64,1147.6,1.20534,3.78583,1.2406,0.80439,0.74247,0.75712,0.39682,2.43143,5.82986,2.08335,0.0003763,0.0003763,0.0003763
65,1165.08,1.18346,3.5897,1.24332,0.79895,0.73383,0.7553,0.42379,2.27404,5.64182,1.92917,0.0003664,0.0003664,0.0003664
66,1182.69,1.20914,3.77009,1.23813,0.77727,0.75108,0.76036,0.39724,2.4056,5.71228,2.00391,0.0003565,0.0003565,0.0003565
67,1200.13,1.20852,3.8396,1.26416,0.78182,0.73184,0.7547,0.43258,2.15006,5.59012,1.83337,0.0003466,0.0003466,0.0003466
68,1217.81,1.21758,3.74345,1.24759,0.77739,0.77079,0.76186,0.42441,2.24317,5.65132,1.92873,0.0003367,0.0003367,0.0003367
69,1235.49,1.19133,3.58852,1.242,0.77883,0.74881,0.74949,0.39756,2.37758,5.94625,2.06089,0.0003268,0.0003268,0.0003268
70,1252.92,1.19655,3.593,1.22609,0.80074,0.74339,0.76334,0.444,2.1705,5.7397,1.8577,0.0003169,0.0003169,0.0003169
71,1270.46,1.17336,3.54896,1.2285,0.80098,0.75067,0.76836,0.42569,2.24415,5.69462,1.90149,0.000307,0.000307,0.000307
72,1288.04,1.19777,3.57156,1.24553,0.78109,0.74158,0.75097,0.41467,2.24728,5.77027,1.89671,0.0002971,0.0002971,0.0002971
