epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,15569.1,1.03487,2.14743,1.32891,0.56635,0.50545,0.45404,0.30366,1.18388,2.25247,1.35359,0.000477238,0.000159079,0.000477238,0.000159079,0.000477238,0.000159079,0.000477238,0.000159079
58,15825.8,1.03102,2.12218,1.28947,0.57091,0.49986,0.45782,0.30725,1.19794,2.24997,1.36353,0.000466635,0.000155545,0.000466635,0.000155545,0.000466635,0.000155545,0.000466635,0.000155545
59,16081.8,1.04992,2.12434,1.30837,0.61526,0.53323,0.46292,0.32084,1.14927,2.22188,1.3237,0.000456032,0.000152011,0.000456032,0.000152011,0.000456032,0.000152011,0.000456032,0.000152011
60,16336.1,1.04321,2.15182,1.33343,0.55875,0.55219,0.46625,0.321,1.16199,2.22001,1.32937,0.000445429,0.000148476,0.000445429,0.000148476,0.000445429,0.000148476,0.000445429,0.000148476
61,16591.7,1.07514,2.17625,1.31146,0.51581,0.55906,0.47096,0.32634,1.13252,2.20762,1.31393,0.000434826,0.000144942,0.000434826,0.000144942,0.000434826,0.000144942,0.000434826,0.000144942
62,16846.9,1.01661,2.1544,1.32749,0.6183,0.50011,0.48164,0.33249,1.16082,2.22472,1.3355,0.000424223,0.000141408,0.000424223,0.000141408,0.000424223,0.000141408,0.000424223,0.000141408
63,17102.7,1.02824,2.17071,1.33027,0.58254,0.51852,0.486,0.34038,1.09821,2.1999,1.29061,0.00041362,0.000137873,0.00041362,0.000137873,0.00041362,0.000137873,0.00041362,0.000137873
64,17359.1,1.08033,2.22062,1.33099,0.57819,0.55732,0.47971,0.33118,1.11859,2.18825,1.29775,0.000403017,0.000134339,0.000403017,0.000134339,0.000403017,0.000134339,0.000403017,0.000134339
65,17612.6,1.02786,2.12262,1.30209,0.59102,0.55539,0.47732,0.33215,1.11919,2.17534,1.2984,0.000392414,0.000130805,0.000392414,0.000130805,0.000392414,0.000130805,0.000392414,0.000130805
66,17868.5,1.04921,2.20218,1.3387,0.58328,0.54023,0.47881,0.33428,1.11735,2.16654,1.29315,0.000381811,0.000127271,0.000381811,0.000127271,0.000381811,0.000127271,0.000381811,0.000127271
